dataset,variable,core,change
AE,AESLIFE,Perm,unchanged
AE,AESOD,Perm,unchanged
AE,AEDTC,Perm,kept from pilot; allowed by SDTM but not in the SDTMIG 3.4 domain table
AE,AEDY,Perm,added (--DY for the --DTC kept from the pilot)
AE,EPOCH,Perm,added (Perm in SDTMIG 3.4; needed for a conformance fix)
AE,AESTDTC,Exp,unchanged
AE,AEENDTC,Exp,unchanged
AE,AESTDY,Perm,unchanged
AE,AEENDY,Perm,unchanged
SUPPAE,STUDYID,Req,unchanged
SUPPAE,RDOMAIN,Req,unchanged
SUPPAE,USUBJID,Req,unchanged
SUPPAE,IDVAR,Exp,unchanged
SUPPAE,IDVARVAL,Exp,unchanged
SUPPAE,QNAM,Req,unchanged
SUPPAE,QLABEL,Req,unchanged
SUPPAE,QVAL,Req,unchanged
SUPPAE,QORIG,Req,unchanged
SUPPAE,QEVAL,Exp,unchanged
DS,STUDYID,Req,unchanged
DS,DOMAIN,Req,unchanged
DS,USUBJID,Req,unchanged
DS,DSSEQ,Req,unchanged
DS,DSSPID,Perm,unchanged
DS,DSTERM,Req,unchanged
DS,DSDECOD,Req,unchanged
DS,DSCAT,Exp,unchanged
DS,VISITNUM,Perm,kept from pilot; allowed by SDTM but not in the SDTMIG 3.4 domain table
DS,VISIT,Perm,kept from pilot; allowed by SDTM but not in the SDTMIG 3.4 domain table
DS,EPOCH,Perm,added (Perm in SDTMIG 3.4; needed for a conformance fix)
DS,DSDTC,Perm,unchanged
DS,DSSTDTC,Exp,unchanged
DS,DSDY,Perm,added (Perm in SDTMIG 3.4)
DS,DSSTDY,Exp,core Perm -> Exp
SUPPDS,STUDYID,Req,unchanged
SUPPDS,RDOMAIN,Req,unchanged
SUPPDS,USUBJID,Req,unchanged
SUPPDS,IDVAR,Exp,unchanged
SUPPDS,IDVARVAL,Exp,unchanged
SUPPDS,QNAM,Req,unchanged
SUPPDS,QLABEL,Req,unchanged
SUPPDS,QVAL,Req,unchanged
SUPPDS,QORIG,Req,unchanged
SUPPDS,QEVAL,Exp,unchanged
