dataset,dataset_label,structure,order,variable,label,type,datatype,length,key,mandatory,role,codelist,origin,comment,core,change
DS,Disposition,One record per disposition status or protocol milestone per subject,9,VISITNUM,Visit Number,Num,float,8,,No,TIMING,VISITNUM,"CRF Page 106, 139",,,
DS,Disposition,One record per disposition status or protocol milestone per subject,10,VISIT,Visit Name,Char,text,19,,No,TIMING,VISIT,"CRF Page 106, 139",,,
DS,Disposition,One record per disposition status or protocol milestone per subject,11,DSDTC,Date/Time of Collection,Char,datetime,19,,No,TIMING,,"CRF Page 106, 139",,,
DS,Disposition,One record per disposition status or protocol milestone per subject,12,DSSTDTC,Start Date/Time of Disposition Event,Char,date,10,4,No,TIMING,,"CRF Page 106, 139",,,
DS,Disposition,One record per disposition status or protocol milestone per subject,13,DSSTDY,Study Day of Start of Disposition Event,Num,integer,8,,No,TIMING,,Derived,,,
MH,Medical History,One record per medical history event per subject,1,STUDYID,Study Identifier,Char,text,12,1,Yes,IDENTIFIER,,CRF Page 7,,,
MH,Medical History,One record per medical history event per subject,2,DOMAIN,Domain Abbreviation,Char,text,2,,Yes,IDENTIFIER,,Assigned,,,
MH,Medical History,One record per medical history event per subject,3,USUBJID,Unique Subject Identifier,Char,text,11,2,Yes,IDENTIFIER,,Derived,"Concatenation of STUDYID, DM.SITEID and DM.SUBJID",,
MH,Medical History,One record per medical history event per subject,4,MHSEQ,Sequence Number,Num,integer,8,,Yes,IDENTIFIER,,Derived,Sequential number identifying records within each USUBJID,,
MH,Medical History,One record per medical history event per subject,5,MHSPID,Sponsor-Defined Identifier,Char,text,3,,No,IDENTIFIER,,"CRF Pages 14, 15, 121, 122, 123",,,
MH,Medical History,One record per medical history event per subject,6,MHTERM,Reported Term for the Medical History,Char,text,19,3,Yes,TOPIC,,"CRF Pages 14, 15, 121, 122, 123",,,
MH,Medical History,One record per medical history event per subject,7,MHLLT,Lowest Level Term,Char,text,200,,No,VARIABLE QUALIFIER,MHDICT,Assigned,,,
MH,Medical History,One record per medical history event per subject,8,MHDECOD,Dictionary-Derived Term,Char,text,44,,No,SYNONYM QUALIFIER,MHDICT,Assigned,,,
MH,Medical History,One record per medical history event per subject,9,MHHLT,High Level Term,Char,text,200,,No,VARIABLE QUALIFIER,MHDICT,Assigned,,,
MH,Medical History,One record per medical history event per subject,10,MHHLGT,High Level Group Term,Char,text,200,,No,VARIABLE QUALIFIER,MHDICT,Assigned,,,
MH,Medical History,One record per medical history event per subject,11,MHCAT,Category for Medical History,Char,text,34,,No,GROUPING QUALIFIER,MHCAT,Assigned,Category values are assigned according to the CRF Section label wich was used to collect that type of medical history information.,,
MH,Medical History,One record per medical history event per subject,12,MHBODSYS,Body System or Organ Class,Char,text,67,,No,RECORD QUALIFIER,MHDICT,Assigned,,,
MH,Medical History,One record per medical history event per subject,13,MHSEV,Severity/Intensity,Char,text,8,,No,VARIABLE QUALIFIER,SEV,"CRF Pages 121, 122, 123",,,
MH,Medical History,One record per medical history event per subject,14,VISITNUM,Visit Number,Num,float,8,,No,TIMING,VISITNUM,"CRF Pages 14, 15, 121, 122, 123",,,
MH,Medical History,One record per medical history event per subject,15,VISIT,Visit Name,Char,text,19,,No,TIMING,VISIT,"CRF Pages 14, 15, 121, 122, 123",,,
MH,Medical History,One record per medical history event per subject,16,VISITDY,Planned Study Day of Visit,Num,integer,8,,No,TIMING,,Derived,TV.VISITDY,,
MH,Medical History,One record per medical history event per subject,17,MHDTC,Date/Time of History Collection,Char,date,10,,No,TIMING,,"CRF Pages 14, 15, 121, 122, 123",,,
MH,Medical History,One record per medical history event per subject,18,MHSTDTC,Start Date/Time of Medical History Event,Char,date,10,4,No,TIMING,,"CRF Pages 12, 14",,,
MH,Medical History,One record per medical history event per subject,19,MHDY,Study Day of History Collection,Num,integer,8,,No,TIMING,,Derived,,,
LB,Laboratory Tests Results,One record per analyte per planned time point number per time point reference per visit per subject,1,STUDYID,Study Identifier,Char,text,12,1,Yes,IDENTIFIER,,CRF Page 7,,,
LB,Laboratory Tests Results,One record per analyte per planned time point number per time point reference per visit per subject,2,DOMAIN,Domain Abbreviation,Char,text,2,,Yes,IDENTIFIER,,Assigned,,,
LB,Laboratory Tests Results,One record per analyte per planned time point number per time point reference per visit per subject,3,USUBJID,Unique Subject Identifier,Char,text,11,2,Yes,IDENTIFIER,,Derived,"Concatenation of STUDYID, DM.SITEID and DM.SUBJID",,
LB,Laboratory Tests Results,One record per analyte per planned time point number per time point reference per visit per subject,4,LBSEQ,Sequence Number,Num,integer,8,,Yes,IDENTIFIER,,Derived,Sequential number identifying records within each USUBJID,,
LB,Laboratory Tests Results,One record per analyte per planned time point number per time point reference per visit per subject,5,LBTESTCD,Lab Test or Examination Short Name,Char,text,7,3,Yes,TOPIC,,eDT,,,
LB,Laboratory Tests Results,One record per analyte per planned time point number per time point reference per visit per subject,6,LBTEST,Lab Test or Examination Name,Char,text,200,,Yes,SYNONYM QUALIFIER,,eDT,,,
LB,Laboratory Tests Results,One record per analyte per planned time point number per time point reference per visit per subject,7,LBCAT,Category for Lab Test,Char,text,10,,No,GROUPING QUALIFIER,LBCAT,eDT,,,
LB,Laboratory Tests Results,One record per analyte per planned time point number per time point reference per visit per subject,8,LBORRES,Result or Finding in Original Units,Char,text,5,,No,RESULT QUALIFIER,,eDT,,,
LB,Laboratory Tests Results,One record per analyte per planned time point number per time point reference per visit per subject,9,LBORRESU,Original Units,Char,text,8,,No,VARIABLE QUALIFIER,,eDT,,,
LB,Laboratory Tests Results,One record per analyte per planned time point number per time point reference per visit per subject,10,LBORNRLO,Reference Range Lower Limit in Orig Unit,Char,text,5,,No,VARIABLE QUALIFIER,,eDT,,,
LB,Laboratory Tests Results,One record per analyte per planned time point number per time point reference per visit per subject,11,LBORNRHI,Reference Range Upper Limit in Orig Unit,Char,text,7,,No,VARIABLE QUALIFIER,,eDT,,,
LB,Laboratory Tests Results,One record per analyte per planned time point number per time point reference per visit per subject,12,LBSTRESC,Character Result/Finding in Std Format,Char,text,8,,No,RESULT QUALIFIER,,Derived,LBORRES converted to standard unit (LBSTRESU),,
LB,Laboratory Tests Results,One record per analyte per planned time point number per time point reference per visit per subject,13,LBSTRESN,Numeric Result/Finding in Standard Units,Num,integer,8,,No,RESULT QUALIFIER,,Derived,LBSTRESC converted to numeric,,
LB,Laboratory Tests Results,One record per analyte per planned time point number per time point reference per visit per subject,14,LBSTRESU,Standard Units,Char,text,8,,No,VARIABLE QUALIFIER,LBUNIT,Assigned,Standard unit per parameter assigned for summarizing analyses,,
LB,Laboratory Tests Results,One record per analyte per planned time point number per time point reference per visit per subject,15,LBSTNRLO,Reference Range Lower Limit-Std Units,Num,integer,8,,No,VARIABLE QUALIFIER,,Derived,LBORNRLO converted to standard unit (LBSTRESU),,
LB,Laboratory Tests Results,One record per analyte per planned time point number per time point reference per visit per subject,16,LBSTNRHI,Reference Range Upper Limit-Std Units,Num,integer,8,,No,VARIABLE QUALIFIER,,Derived,LBORNRHI converted to standard unit (LBSTRESU),,
LB,Laboratory Tests Results,One record per analyte per planned time point number per time point reference per visit per subject,17,LBNRIND,Reference Range Indicator,Char,text,200,,No,VARIABLE QUALIFIER,LBNRIND,Derived,"If LBSTRESN > LBSTNRHI then LBNRIND=""HIGH"". If LBSTRESN < LBSTNRLO then LBNRIND=""LOW"". If LBSTRESN between LBSTNRLO and LBSTNRHI then LBNRIND=""NORMAL"". Selected urinalysis parameters (e.g. Ketones) are classified as NORMAL or ABNORMAL only.",,
LB,Laboratory Tests Results,One record per analyte per planned time point number per time point reference per visit per subject,18,LBBLFL,Baseline Flag,Char,text,1,,No,RECORD QUALIFIER,Y_BLANK,Derived,"If VISIT=""SCREENING"" then LBBLFL=Y",,
LB,Laboratory Tests Results,One record per analyte per planned time point number per time point reference per visit per subject,19,VISITNUM,Visit Number,Num,float,8,4,No,TIMING,VISITNUM,eDT,,,
LB,Laboratory Tests Results,One record per analyte per planned time point number per time point reference per visit per subject,20,VISIT,Visit Name,Char,text,19,,No,TIMING,VISIT,eDT,,,
LB,Laboratory Tests Results,One record per analyte per planned time point number per time point reference per visit per subject,21,VISITDY,Planned Study Day of Visit,Num,integer,8,,No,TIMING,,Derived,TV.VISITDY,,
LB,Laboratory Tests Results,One record per analyte per planned time point number per time point reference per visit per subject,22,LBDTC,Date/Time of Specimen Collection,Char,datetime,16,,No,TIMING,,eDT,,,
LB,Laboratory Tests Results,One record per analyte per planned time point number per time point reference per visit per subject,23,LBDY,Study Day of Specimen Collection,Num,integer,8,,No,TIMING,,Derived,,,
QS,Questionnaires,One record per questionnaire per question per time point per visit per subject,1,STUDYID,Study Identifier,Char,text,12,1,Yes,IDENTIFIER,,CRF Page 7,,,
QS,Questionnaires,One record per questionnaire per question per time point per visit per subject,2,DOMAIN,Domain Abbreviation,Char,text,2,,Yes,IDENTIFIER,,Assigned,,,
QS,Questionnaires,One record per questionnaire per question per time point per visit per subject,3,USUBJID,Unique Subject Identifier,Char,text,11,2,Yes,IDENTIFIER,,Derived,"Concatenation of STUDYID, DM.SITEID and DM.SUBJID",,
QS,Questionnaires,One record per questionnaire per question per time point per visit per subject,4,QSSEQ,Sequence Number,Num,integer,8,,Yes,IDENTIFIER,,Derived,Sequential number identifying records within each USUBJID,,
QS,Questionnaires,One record per questionnaire per question per time point per visit per subject,5,QSTESTCD,Question Short Name,Char,text,8,3,Yes,TOPIC,,"CRF Pages 10, 11, 26, 27, 28, 29, 38, 44, 54, 59, 60, 61, 62, 63, 69, 74, 75, 76, 77, 78, 84, 89, 91, 92, 93, 94, 95, 101, 109, 110, 111, 112, 113, 130, 131, 132, 133, 134, 156, 157",,,
QS,Questionnaires,One record per questionnaire per question per time point per visit per subject,6,QSTEST,Question Name,Char,text,40,,Yes,SYNONYM QUALIFIER,,"CRF Pages 10, 11, 26, 27, 28, 29, 38, 44, 54, 59, 60, 61, 62, 63, 69, 74, 75, 76, 77, 78, 84, 89, 91, 92, 93, 94, 95, 101, 109, 110, 111, 112, 113, 130, 131, 132, 133, 134, 156, 157",,,
QS,Questionnaires,One record per questionnaire per question per time point per visit per subject,7,QSCAT,Category of Question,Char,text,70,,Yes,GROUPING QUALIFIER,QSCAT,"CRF Pages 10, 11, 26, 27, 28, 29, 38, 44, 54, 59, 60, 61, 62, 63, 69, 74, 75, 76, 77, 78, 84, 89, 91, 92, 93, 94, 95, 101, 109, 110, 111, 112, 113, 130, 131, 132, 133, 134, 156, 157",,,
QS,Questionnaires,One record per questionnaire per question per time point per visit per subject,8,QSSCAT,Subcategory for Question,Char,text,26,,No,GROUPING QUALIFIER,,"CRF Pages 10, 11, 26, 27, 28, 29, 38, 44, 54, 59, 60, 61, 62, 63, 69, 74, 75, 76, 77, 78, 84, 89, 91, 92, 93, 94, 95, 101, 109, 110, 111, 112, 113, 130, 131, 132, 133, 134, 156, 157",,,
QS,Questionnaires,One record per questionnaire per question per time point per visit per subject,9,QSORRES,Finding in Original Units,Char,text,20,,No,RESULT QUALIFIER,,"CRF Pages 10, 11, 26, 27, 28, 29, 38, 44, 54, 59, 60, 61, 62, 63, 69, 74, 75, 76, 77, 78, 84, 89, 91, 92, 93, 94, 95, 101, 109, 110, 111, 112, 113, 130, 131, 132, 133, 134, 156, 157",,,
QS,Questionnaires,One record per questionnaire per question per time point per visit per subject,10,QSORRESU,Original Units,Char,text,7,,No,VARIABLE QUALIFIER,QSUNIT,"CRF Pages 26, 59, 74, 91, 109, 130",,,
QS,Questionnaires,One record per questionnaire per question per time point per visit per subject,11,QSSTRESC,Character Result/Finding in Std Format,Char,text,4,,No,RESULT QUALIFIER,,Derived,Derived standardized value for collect result (QSORRES),,
QS,Questionnaires,One record per questionnaire per question per time point per visit per subject,12,QSSTRESN,Numeric Finding in Standard Units,Num,integer,8,,No,RESULT QUALIFIER,,Derived,,,
QS,Questionnaires,One record per questionnaire per question per time point per visit per subject,13,QSSTRESU,Standard Units,Char,text,7,,No,VARIABLE QUALIFIER,QSUNIT,Derived,QSSTRESU=QSORRESU,,
QS,Questionnaires,One record per questionnaire per question per time point per visit per subject,14,QSBLFL,Baseline Flag,Char,text,1,,No,RECORD QUALIFIER,Y_BLANK,Derived,"If VISIT=""BASELINE"" then QSBLFL=""Y""",,
QS,Questionnaires,One record per questionnaire per question per time point per visit per subject,15,QSDRVFL,Derived Flag,Char,text,1,,No,RECORD QUALIFIER,Y_BLANK,Assigned,"Individual test results which were not collected on CRF but derived are flagged with QSDRVFL=""Y""",,
QS,Questionnaires,One record per questionnaire per question per time point per visit per subject,16,VISITNUM,Visit Number,Num,float,8,4,No,TIMING,VISITNUM,"CRF Pages 10, 11, 26, 27, 28, 29, 38, 44, 54, 59, 60, 61, 62, 63, 69, 74, 75, 76, 77, 78, 84, 89, 91, 92, 93, 94, 95, 101, 109, 110, 111, 112, 113, 130, 131, 132, 133, 134, 156, 157",,,
QS,Questionnaires,One record per questionnaire per question per time point per visit per subject,17,VISIT,Visit Name,Char,text,19,,No,TIMING,VISIT,"CRF Pages 10, 11, 26, 27, 28, 29, 38, 44, 54, 59, 60, 61, 62, 63, 69, 74, 75, 76, 77, 78, 84, 89, 91, 92, 93, 94, 95, 101, 109, 110, 111, 112, 113, 130, 131, 132, 133, 134, 156, 157",,,
QS,Questionnaires,One record per questionnaire per question per time point per visit per subject,18,VISITDY,Planned Study Day of Visit,Num,integer,8,,No,TIMING,,Derived,TV.VISITDY,,
QS,Questionnaires,One record per questionnaire per question per time point per visit per subject,19,QSDTC,Date/Time of Finding,Char,date,10,,No,TIMING,,Derived,QSDTC=SV.SVSTDTC of the respective VISIT,,
QS,Questionnaires,One record per questionnaire per question per time point per visit per subject,20,QSDY,Study Day of Finding,Num,integer,8,,No,TIMING,,Derived,,,
SC,Subject Characteristics,One record per characteristic per subject,1,STUDYID,Study Identifier,Char,text,12,1,Yes,IDENTIFIER,,CRF Page 7,,,
SC,Subject Characteristics,One record per characteristic per subject,2,DOMAIN,Domain Abbreviation,Char,text,2,,Yes,IDENTIFIER,,Assigned,,,
SC,Subject Characteristics,One record per characteristic per subject,3,USUBJID,Unique Subject Identifier,Char,text,11,2,Yes,IDENTIFIER,,Derived,"Concatenation of STUDYID, DM.SITEID and DM.SUBJID",,
SC,Subject Characteristics,One record per characteristic per subject,4,SCSEQ,Sequence Number,Num,integer,8,,Yes,IDENTIFIER,,Derived,Sequential number identifying records within each USUBJID,,
SC,Subject Characteristics,One record per characteristic per subject,5,SCTESTCD,Subject Characteristic Short Name,Char,text,8,3,Yes,TOPIC,,CRF Page 8,,,
SC,Subject Characteristics,One record per characteristic per subject,6,SCTEST,Subject Characteristic,Char,text,18,,Yes,SYNONYM QUALIFIER,,CRF Page 8,,,
SC,Subject Characteristics,One record per characteristic per subject,7,SCCAT,Category for Subject Characteristic,Char,text,9,,No,GROUPING QUALIFIER,SCCAT,Assigned,Corresponds to the CRF Section label where the data were obtained from.,,
SC,Subject Characteristics,One record per characteristic per subject,8,SCORRES,Result or Finding in Original Units,Char,text,2,,No,RESULT QUALIFIER,,CRF Page 8,,,
SC,Subject Characteristics,One record per characteristic per subject,9,SCORRESU,Original Units,Char,text,5,,No,VARIABLE QUALIFIER,SCUNIT,CRF Page 8,,,
SC,Subject Characteristics,One record per characteristic per subject,10,SCSTRESC,Character Result/Finding in Std Format,Char,text,2,,No,RESULT QUALIFIER,,Derived,SCORRES converted to standard unit,,
SC,Subject Characteristics,One record per characteristic per subject,11,SCSTRESN,Numeric Result/Finding in Standard Units,Num,integer,8,,No,RESULT QUALIFIER,,Derived,SCSTRESC converted to numeric,,
SC,Subject Characteristics,One record per characteristic per subject,12,SCSTRESU,Standard Units,Char,text,5,,No,VARIABLE QUALIFIER,SCUNIT,Derived,SCSTRESU=SCORRESU,,
SC,Subject Characteristics,One record per characteristic per subject,13,SCDTC,Date/Time of Collection,Char,date,10,,No,TIMING,,CRF Page 7,,,
SC,Subject Characteristics,One record per characteristic per subject,14,SCDY,Study Day of Examination,Num,integer,8,,No,TIMING,,Derived,,,
VS,Vital Signs,One record per vital sign measurement per time point per visit per subject,1,STUDYID,Study Identifier,Char,text,12,1,Yes,IDENTIFIER,,CRF Page 7,,,
VS,Vital Signs,One record per vital sign measurement per time point per visit per subject,2,DOMAIN,Domain Abbreviation,Char,text,2,,Yes,IDENTIFIER,,Assigned,,,
VS,Vital Signs,One record per vital sign measurement per time point per visit per subject,3,USUBJID,Unique Subject Identifier,Char,text,11,2,Yes,IDENTIFIER,,Derived,"Concatenation of STUDYID, DM.SITEID and DM.SUBJID",,
VS,Vital Signs,One record per vital sign measurement per time point per visit per subject,4,VSSEQ,Sequence Number,Num,integer,8,,Yes,IDENTIFIER,,Derived,Sequential number identifying records within each USUBJID,,
VS,Vital Signs,One record per vital sign measurement per time point per visit per subject,5,VSTESTCD,Vital Signs Test Short Name,Char,text,6,3,Yes,TOPIC,,"CRF Pages 16, 17, 22, 23, 30, 33, 39, 45, 50, 55, 64, 70, 79, 85, 96, 102, 114, 135",,,
VS,Vital Signs,One record per vital sign measurement per time point per visit per subject,6,VSTEST,Vital Signs Test Name,Char,text,24,,Yes,SYNONYM QUALIFIER,,"CRF Pages 16, 17, 22, 23, 30, 33, 39, 45, 50, 55, 64, 70, 79, 85, 96, 102, 114, 135",,,
VS,Vital Signs,One record per vital sign measurement per time point per visit per subject,7,VSPOS,Vital Signs Position of Subject,Char,text,8,,No,RECORD QUALIFIER,VSPOS,"CRF Pages 16, 17, 22, 23, 30, 33, 39, 45, 50, 55, 64, 70, 79, 85, 96, 102, 114, 135",,,
VS,Vital Signs,One record per vital sign measurement per time point per visit per subject,8,VSORRES,Result or Finding in Original Units,Char,text,5,,No,RESULT QUALIFIER,,"CRF Pages 16, 17, 22, 23, 30, 33, 39, 45, 50, 55, 64, 70, 79, 85, 96, 102, 114, 135",,,
VS,Vital Signs,One record per vital sign measurement per time point per visit per subject,9,VSORRESU,Original Units,Char,text,200,,No,VARIABLE QUALIFIER,VSUNIT,"CRF Pages 16, 17, 22, 23, 30, 33, 39, 45, 50, 55, 64, 70, 79, 85, 96, 102, 114, 135",,,
VS,Vital Signs,One record per vital sign measurement per time point per visit per subject,10,VSSTRESC,Character Result/Finding in Std Format,Char,text,6,,No,RESULT QUALIFIER,,Derived,VSORRES converted to standard unit,,
VS,Vital Signs,One record per vital sign measurement per time point per visit per subject,11,VSSTRESN,Numeric Result/Finding in Standard Units,Num,integer,8,,No,RESULT QUALIFIER,,Derived,VSSTRESC converted to numeric,,
VS,Vital Signs,One record per vital sign measurement per time point per visit per subject,12,VSSTRESU,Standard Units,Char,text,200,,No,VARIABLE QUALIFIER,VSUNIT,Assigned,Standard unit defined per parameter for summarizing analysis,,
VS,Vital Signs,One record per vital sign measurement per time point per visit per subject,13,VSSTAT,Completion Status,Char,text,8,,No,RECORD QUALIFIER,ND,"CRF Pages 16, 17, 22, 23, 30, 33, 39, 45, 50, 55, 64, 70, 79, 85, 96, 102, 114, 135",,,
VS,Vital Signs,One record per vital sign measurement per time point per visit per subject,14,VSLOC,Location of Vital Signs Measurement,Char,text,200,,No,RECORD QUALIFIER,VSLOC,"CRF Pages 17, 23, 30, 33, 45, 50, 55, 64, 70, 79, 85, 96, 102, 114, 135",,,
VS,Vital Signs,One record per vital sign measurement per time point per visit per subject,15,VSBLFL,Baseline Flag,Char,text,1,,No,RECORD QUALIFIER,Y_BLANK,Derived,"If VISIT=""BASELINE"" then VSBLFL=""Y""",,
VS,Vital Signs,One record per vital sign measurement per time point per visit per subject,16,VISITNUM,Visit Number,Num,float,8,4,No,TIMING,VISITNUM,"CRF Pages 16, 17, 22, 23, 30, 33, 39, 45, 50, 55, 64, 70, 79, 85, 96, 102, 114, 135",,,
VS,Vital Signs,One record per vital sign measurement per time point per visit per subject,17,VISIT,Visit Name,Char,text,19,,No,TIMING,VISIT,"CRF Pages 16, 17, 22, 23, 30, 33, 39, 45, 50, 55, 64, 70, 79, 85, 96, 102, 114, 135",,,
VS,Vital Signs,One record per vital sign measurement per time point per visit per subject,18,VISITDY,Planned Study Day of Visit,Num,integer,8,,No,TIMING,,Derived,TV.VISITDY,,
VS,Vital Signs,One record per vital sign measurement per time point per visit per subject,19,VSDTC,Date/Time of Measurements,Char,date,10,,No,TIMING,,"CRF Pages 16, 17, 22, 23, 30, 33, 39, 45, 50, 55, 64, 70, 79, 85, 96, 102, 114, 135",,,
VS,Vital Signs,One record per vital sign measurement per time point per visit per subject,20,VSDY,Study Day of Vital Signs,Num,integer,8,,No,TIMING,,Derived,,,
VS,Vital Signs,One record per vital sign measurement per time point per visit per subject,21,VSTPT,Planned Time Point Name,Char,text,30,,No,TIMING,VSTPT,"CRF Pages 16, 17, 22, 23, 30, 33, 39, 45, 50, 55, 64, 70, 79, 85, 96, 102, 114, 135",,,
VS,Vital Signs,One record per vital sign measurement per time point per visit per subject,22,VSTPTNUM,Planned Time Point Number,Num,integer,8,5,No,TIMING,VSTPTNUM,"CRF Pages 16, 17, 22, 23, 30, 33, 39, 45, 50, 55, 64, 70, 79, 85, 96, 102, 114, 135",,,
VS,Vital Signs,One record per vital sign measurement per time point per visit per subject,23,VSELTM,Planned Elapsed Time from Time Point Ref,Char,text,4,,No,TIMING,,Derived,VSTPT expressed in the ISO 8601 format for durations,,
VS,Vital Signs,One record per vital sign measurement per time point per visit per subject,24,VSTPTREF,Time Point Reference,Char,text,16,,No,TIMING,VSTPTREF,Assigned,,,
RELREC,Related Records,"One record per related record, group of records or datasets",1,STUDYID,Study Identifier,Char,text,12,1,Yes,IDENTIFIER,,CRF Page 7,,,
RELREC,Related Records,"One record per related record, group of records or datasets",2,RDOMAIN,Related Domain Abbreviation,Char,text,2,2,Yes,IDENTIFIER,,Derived,Domain abbreviations for domains which are related to at least one other domain. Derived from parent record,,
RELREC,Related Records,"One record per related record, group of records or datasets",3,USUBJID,Unique Subject Identifier,Char,text,11,3,No,IDENTIFIER,,Derived,"Concatenation of STUDYID, DM.SITEID and DM.SUBJID",,
RELREC,Related Records,"One record per related record, group of records or datasets",4,IDVAR,Identifying Variable,Char,text,8,4,Yes,IDENTIFIER,,Derived,Derived from parent record,,
RELREC,Related Records,"One record per related record, group of records or datasets",5,IDVARVAL,Identifying Variable Value,Char,text,200,5,No,IDENTIFIER,,Derived,Derived from parent record,,
RELREC,Related Records,"One record per related record, group of records or datasets",6,RELTYPE,Relationship Type,Char,text,30,7,No,RESULT QUALIFIER,,Assigned,,,
RELREC,Related Records,"One record per related record, group of records or datasets",7,RELID,Relationship Identifier,Char,text,200,6,Yes,TOPIC,,Derived,Records with the same RELID value can be considered as related records,,
SUPPAE,Supplemental Qualifiers for AE,"One record per IDVAR, IDVARVAL, and QNAM value per subject",1,STUDYID,Study Identifier,Char,text,12,1,Yes,IDENTIFIER,,CRF Page 7,,,
SUPPAE,Supplemental Qualifiers for AE,"One record per IDVAR, IDVARVAL, and QNAM value per subject",2,RDOMAIN,Related Domain Abbreviation,Char,text,2,2,Yes,IDENTIFIER,,Assigned,"RDOMAIN=""AE""",,
SUPPAE,Supplemental Qualifiers for AE,"One record per IDVAR, IDVARVAL, and QNAM value per subject",3,USUBJID,Unique Subject Identifier,Char,text,11,3,Yes,IDENTIFIER,,Derived,"Concatenation of STUDYID, DM.SITEID and DM.SUBJID",,
SUPPAE,Supplemental Qualifiers for AE,"One record per IDVAR, IDVARVAL, and QNAM value per subject",4,IDVAR,Identifying Variable,Char,text,8,4,No,IDENTIFIER,,Assigned,"IDVAR=""AESEQ""",,
SUPPAE,Supplemental Qualifiers for AE,"One record per IDVAR, IDVARVAL, and QNAM value per subject",5,IDVARVAL,Identifying Variable Value,Char,text,200,5,No,IDENTIFIER,,Derived,Value of AESEQ of corresponding parent record,,
SUPPAE,Supplemental Qualifiers for AE,"One record per IDVAR, IDVARVAL, and QNAM value per subject",6,QNAM,Qualifier Variable Name,Char,text,8,6,Yes,TOPIC,,Assigned,,,
SUPPAE,Supplemental Qualifiers for AE,"One record per IDVAR, IDVARVAL, and QNAM value per subject",7,QLABEL,Qualifier Variable Label,Char,text,40,,Yes,SYNONYM QUALIFIER,,Assigned,,,
SUPPAE,Supplemental Qualifiers for AE,"One record per IDVAR, IDVARVAL, and QNAM value per subject",8,QVAL,Data Value,Char,text,200,,Yes,RESULT,,Derived,see value level metadata,,
SUPPAE,Supplemental Qualifiers for AE,"One record per IDVAR, IDVARVAL, and QNAM value per subject",9,QORIG,Origin,Char,text,200,,Yes,RESULT QUALIFIER,,Assigned,,,
SUPPAE,Supplemental Qualifiers for AE,"One record per IDVAR, IDVARVAL, and QNAM value per subject",10,QEVAL,Evaluator,Char,text,200,,No,RESULT QUALIFIER,QEVAL,Assigned,,,
SUPPDM,Supplemental Qualifiers for DM,"One record per IDVAR, IDVARVAL, and QNAM value per subject",1,STUDYID,Study Identifier,Char,text,12,1,Yes,IDENTIFIER,,CRF Page 7,,,
SUPPDM,Supplemental Qualifiers for DM,"One record per IDVAR, IDVARVAL, and QNAM value per subject",2,RDOMAIN,Related Domain Abbreviation,Char,text,2,2,Yes,IDENTIFIER,,Assigned,"RDOMAIN=""AE""",,
SUPPDM,Supplemental Qualifiers for DM,"One record per IDVAR, IDVARVAL, and QNAM value per subject",3,USUBJID,Unique Subject Identifier,Char,text,11,3,Yes,IDENTIFIER,,Derived,"Concatenation of STUDYID, DM.SITEID and DM.SUBJID",,
SUPPDM,Supplemental Qualifiers for DM,"One record per IDVAR, IDVARVAL, and QNAM value per subject",4,IDVAR,Identifying Variable,Char,text,8,4,No,IDENTIFIER,,Assigned,"IDVAR="" """,,
SUPPDM,Supplemental Qualifiers for DM,"One record per IDVAR, IDVARVAL, and QNAM value per subject",5,IDVARVAL,Identifying Variable Value,Char,text,200,5,No,IDENTIFIER,,Assigned,"IDVARVAL= "" """,,
SUPPDM,Supplemental Qualifiers for DM,"One record per IDVAR, IDVARVAL, and QNAM value per subject",6,QNAM,Qualifier Variable Name,Char,text,8,6,Yes,TOPIC,,Assigned,,,
SUPPDM,Supplemental Qualifiers for DM,"One record per IDVAR, IDVARVAL, and QNAM value per subject",7,QLABEL,Qualifier Variable Label,Char,text,40,,Yes,SYNONYM QUALIFIER,,Assigned,,,
SUPPDM,Supplemental Qualifiers for DM,"One record per IDVAR, IDVARVAL, and QNAM value per subject",8,QVAL,Data Value,Char,text,200,,Yes,RESULT,,Derived,see value level metadata,,
SUPPDM,Supplemental Qualifiers for DM,"One record per IDVAR, IDVARVAL, and QNAM value per subject",9,QORIG,Origin,Char,text,200,,Yes,RESULT QUALIFIER,,Assigned,,,
SUPPDM,Supplemental Qualifiers for DM,"One record per IDVAR, IDVARVAL, and QNAM value per subject",10,QEVAL,Evaluator,Char,text,200,,No,RESULT QUALIFIER,QEVAL,Assigned,,,
SUPPDS,Supplemental Qualifiers for DS,"One record per IDVAR, IDVARVAL, and QNAM value per subject",1,STUDYID,Study Identifier,Char,text,12,1,Yes,IDENTIFIER,,CRF Page 7,,,
SUPPDS,Supplemental Qualifiers for DS,"One record per IDVAR, IDVARVAL, and QNAM value per subject",2,RDOMAIN,Related Domain Abbreviation,Char,text,2,2,Yes,IDENTIFIER,,Assigned,"RDOMAIN=""DS""",,
SUPPDS,Supplemental Qualifiers for DS,"One record per IDVAR, IDVARVAL, and QNAM value per subject",3,USUBJID,Unique Subject Identifier,Char,text,11,3,Yes,IDENTIFIER,,Derived,"Concatenation of STUDYID, DM.SITEID and DM.SUBJID",,
SUPPDS,Supplemental Qualifiers for DS,"One record per IDVAR, IDVARVAL, and QNAM value per subject",4,IDVAR,Identifying Variable,Char,text,8,4,No,IDENTIFIER,,Assigned,"IDVAR=""DSSEQ""",,
