dataset,dataset_label,structure,order,variable,label,type,datatype,length,key,mandatory,role,codelist,origin,comment,core,change
DM,Demographics,One record per subject,6,RFENDTC,Subject Reference End Date/Time,Char,date,10,,No,RECORD QUALIFIER,,Derived,Date/time of last study drug treatment derived from EX,,
DM,Demographics,One record per subject,7,RFXSTDTC,Date/Time of First Study Treatment,Char,datetime,20,,No,RECORD QUALIFIER,,Derived,RFXSTDTC=RFSTDTC,,
DM,Demographics,One record per subject,8,RFXENDTC,Date/Time of Last Study Treatment,Char,datetime,20,,No,RECORD QUALIFIER,,Derived,RFXENDTC=RFENDTC,,
DM,Demographics,One record per subject,9,RFICDTC,Date/Time of Informed Consent,Char,datetime,20,,No,RECORD QUALIFIER,,Derived,Date of informed consent was not entered in database (see annotated CRF),,
DM,Demographics,One record per subject,10,RFPENDTC,Date/Time of End of Participation,Char,datetime,20,,No,RECORD QUALIFIER,,Derived,DSSTDTC of last disposition event,,
DM,Demographics,One record per subject,11,DTHDTC,Date/Time of Death,Char,datetime,20,,No,RECORD QUALIFIER,,Derived,"If DS record exists with DSDECOD=""DEATH"" then DTHDTC=AEENDTC.",,
DM,Demographics,One record per subject,12,DTHFL,Subject Death Flag,Char,text,1,,No,RECORD QUALIFIER,Y_BLANK,Derived,"If DS record exists with DSDECOD=""DEATH"" then DEATHFL=Y.",,
DM,Demographics,One record per subject,13,SITEID,Study Site Identifier,Char,text,3,,Yes,RECORD QUALIFIER,,Assigned,,,
DM,Demographics,One record per subject,14,AGE,Age,Num,integer,8,,No,RECORD QUALIFIER,,Derived,Subject's Age at start of study drug (RFSTDTC).,,
DM,Demographics,One record per subject,15,AGEU,Age Units,Char,text,6,,No,VARIABLE QUALIFIER,AGEU,Assigned,"AGEU=""YEARS""",,
DM,Demographics,One record per subject,16,SEX,Sex,Char,text,1,,Yes,RECORD QUALIFIER,SEX,CRF Page 7,,,
DM,Demographics,One record per subject,17,RACE,Race,Char,text,78,,No,RECORD QUALIFIER,RACE,CRF Page 7,,,
DM,Demographics,One record per subject,18,ETHNIC,Ethnicity,Char,text,25,,No,RECORD QUALIFIER,ETHNIC,Derived,"Derived from Origin entered on CRF: ETHINC=""HISPANIC OR LATINO"" if Origin=""Hispanic"". Otherwise ETHNIC=""NOT HISPANIC OR LATINO""",,
DM,Demographics,One record per subject,19,ARMCD,Planned Arm Code,Char,text,8,,Yes,RECORD QUALIFIER,ARMCD,Assigned,According to randomization list,,
DM,Demographics,One record per subject,20,ARM,Description of Planned Arm,Char,text,20,,Yes,SYNONYM QUALIFIER,ARM,Assigned,According to randomization list,,
DM,Demographics,One record per subject,21,ACTARMCD,Actual Arm Code,Char,text,8,,Yes,RECORD QUALIFIER,ARMCD,Derived,Derived from EX,,
DM,Demographics,One record per subject,22,ACTARM,Description of Actual Arm,Char,text,20,,Yes,SYNONYM QUALIFIER,ARM,Derived,Derived from EX,,
DM,Demographics,One record per subject,23,COUNTRY,Country,Char,text,3,,Yes,RECORD QUALIFIER,COUNTRY,Derived,Derived from site information,,
DM,Demographics,One record per subject,24,DMDTC,Date/Time of Collection,Char,date,10,,No,TIMING,,CRF Page 7,,,
DM,Demographics,One record per subject,25,DMDY,Study Day of Collection,Num,integer,8,,No,TIMING,,Derived,,,
SE,Subject Elements,One record per actual Element per subject,1,STUDYID,Study Identifier,Char,text,12,1,Yes,IDENTIFIER,,CRF Page 7,,,
SE,Subject Elements,One record per actual Element per subject,2,DOMAIN,Domain Abbreviation,Char,text,2,,Yes,IDENTIFIER,,Assigned,,,
SE,Subject Elements,One record per actual Element per subject,3,USUBJID,Unique Subject Identifier,Char,text,11,2,Yes,IDENTIFIER,,Derived,"Concatenation of STUDYID, DM.SITEID and DM.SUBJID",,
SE,Subject Elements,One record per actual Element per subject,4,SESEQ,Sequence Number,Num,integer,8,,Yes,IDENTIFIER,,Derived,Sequential number identifying records within each USUBJID,,
SE,Subject Elements,One record per actual Element per subject,5,ETCD,Element Code,Char,text,200,3,Yes,TOPIC,ETCD,Assigned,,,
SE,Subject Elements,One record per actual Element per subject,6,ELEMENT,Description of Element,Char,text,200,,No,SYNONYM QUALIFIER,ELEMENT,Protocol,,,
SE,Subject Elements,One record per actual Element per subject,7,SESTDTC,Start Date/Time of Element,Char,date,10,,Yes,TIMING,,Derived,Earliest date/time when data pertaining to that element were collected,,
SE,Subject Elements,One record per actual Element per subject,8,SEENDTC,End Date/Time of Element,Char,date,10,,No,TIMING,,Derived,Last date/time when data pertaining to that element were collected,,
SE,Subject Elements,One record per actual Element per subject,9,SEUPDES,Description of Unplanned Element,Char,text,200,,No,SYNONYM QUALIFIER,,Assigned,,,
SV,Subject Visits,One record per actual visit per subject,1,STUDYID,Study Identifier,Char,text,12,1,Yes,IDENTIFIER,,CRF Page 7,,,
SV,Subject Visits,One record per actual visit per subject,2,DOMAIN,Domain Abbreviation,Char,text,2,,Yes,IDENTIFIER,,Assigned,,,
SV,Subject Visits,One record per actual visit per subject,3,USUBJID,Unique Subject Identifier,Char,text,11,2,Yes,IDENTIFIER,,Derived,"Concatenation of STUDYID, DM.SITEID and DM.SUBJID",,
SV,Subject Visits,One record per actual visit per subject,4,VISITNUM,Visit Number,Num,float,8,3,Yes,TOPIC,VISITNUM,"CRF Pages 7, 22, 25, 32, 36, 42, 49, 52, 58, 67, 73, 82, 88, 90, 99, 108, 116, 121, 122, 123, 123, 125, 126, 128",,,
SV,Subject Visits,One record per actual visit per subject,5,VISIT,Visit Name,Char,text,19,,No,SYNONYM QUALIFIER,VISIT,"CRF Pages 7, 22, 25, 32, 36, 42, 49, 52, 58, 67, 73, 82, 88, 90, 99, 108, 116, 121, 122, 123, 123, 125, 126, 128",,,
SV,Subject Visits,One record per actual visit per subject,6,VISITDY,Planned Study Day of Visit,Num,integer,8,,No,TIMING,,Derived,TV.VISITDY,,
SV,Subject Visits,One record per actual visit per subject,7,SVSTDTC,Start Date/Time of Visit,Char,date,10,,No,TIMING,,Derived,Earliest date when data were collected for the corresponding visit.,,
SV,Subject Visits,One record per actual visit per subject,8,SVENDTC,End Date/Time of Visit,Char,date,10,,No,TIMING,,Derived,Lastt date when data were collected for the corresponding visit.,,
CM,Concomitant Medications,One record per recorded medication occurrence or constant-dosing interval per subject,1,STUDYID,Study Identifier,Char,text,12,1,Yes,IDENTIFIER,,CRF Page 7,,,
CM,Concomitant Medications,One record per recorded medication occurrence or constant-dosing interval per subject,2,DOMAIN,Domain Abbreviation,Char,text,2,,Yes,IDENTIFIER,,Assigned,,,
CM,Concomitant Medications,One record per recorded medication occurrence or constant-dosing interval per subject,3,USUBJID,Unique Subject Identifier,Char,text,11,2,Yes,IDENTIFIER,,Derived,"Concatenation of STUDYID, DM.SITEID and DM.SUBJID",,
CM,Concomitant Medications,One record per recorded medication occurrence or constant-dosing interval per subject,4,CMSEQ,Sequence Number,Num,integer,8,,Yes,IDENTIFIER,,Derived,Sequential number identifying records within each USUBJID,,
CM,Concomitant Medications,One record per recorded medication occurrence or constant-dosing interval per subject,5,CMSPID,Sponsor-Defined Identifier,Char,text,2,,No,IDENTIFIER,,Assigned,,,
CM,Concomitant Medications,One record per recorded medication occurrence or constant-dosing interval per subject,6,CMTRT,"Reported Name of Drug, Med, or Therapy",Char,text,44,3,Yes,TOPIC,,"CRF Page 124, 125, 126",,,
CM,Concomitant Medications,One record per recorded medication occurrence or constant-dosing interval per subject,7,CMDECOD,Standardized Medication Name,Char,text,24,,No,SYNONYM QUALIFIER,DRUGDICT,Assigned,,,
CM,Concomitant Medications,One record per recorded medication occurrence or constant-dosing interval per subject,8,CMINDC,Indication,Char,text,34,,No,RECORD QUALIFIER,,"CRF Page 124, 125, 126",,,
