dataset,dataset_label,structure,order,variable,label,type,datatype,length,key,mandatory,role,codelist,origin,comment,core,change
AE,Adverse Events,One record per adverse event per subject,13,AEHLGT,High Level Group Term,Char,text,100,,No,Variable Qualifier,AEDICT,Assigned,,Exp,unchanged
AE,Adverse Events,One record per adverse event per subject,14,AEHLGTCD,High Level Group Term Code,Num,integer,8,,No,Variable Qualifier,,Assigned,,Exp,unchanged
AE,Adverse Events,One record per adverse event per subject,15,AEBODSYS,Body System or Organ Class,Char,text,67,,No,Record Qualifier,AEDICT,Assigned,,Exp,unchanged
AE,Adverse Events,One record per adverse event per subject,16,AEBDSYCD,Body System or Organ Class Code,Num,integer,8,,No,Variable Qualifier,,Assigned,,Exp,unchanged
AE,Adverse Events,One record per adverse event per subject,17,AESOC,Primary System Organ Class,Char,text,100,,No,Variable Qualifier,AEDICT,Assigned,,Exp,unchanged
AE,Adverse Events,One record per adverse event per subject,18,AESOCCD,Primary System Organ Class Code,Num,integer,8,,No,Variable Qualifier,,Assigned,,Exp,unchanged
AE,Adverse Events,One record per adverse event per subject,19,AESEV,Severity/Intensity,Char,text,8,,No,Record Qualifier,AESEV,"CRF Page 121, 122, 123",,Perm,unchanged
AE,Adverse Events,One record per adverse event per subject,20,AESER,Serious Event,Char,text,1,,No,Record Qualifier,NY,"CRF Page 121, 122, 123",,Exp,unchanged
AE,Adverse Events,One record per adverse event per subject,21,AEACN,Action Taken with Study Treatment,Char,text,30,,No,Record Qualifier,ACN,Derived,AEACN=Null (data on action taken concerning study treatment was not collected),Exp,unchanged
AE,Adverse Events,One record per adverse event per subject,22,AEREL,Causality,Char,text,8,,No,Record Qualifier,AECAUS,"CRF Page 121, 122, 123",,Exp,unchanged
AE,Adverse Events,One record per adverse event per subject,23,AEOUT,Outcome of Adverse Event,Char,text,200,,No,Record Qualifier,OUT,"CRF Page 121, 122, 123",,Perm,unchanged
AE,Adverse Events,One record per adverse event per subject,24,AESCAN,Involves Cancer,Char,text,1,,No,Record Qualifier,NY,"CRF Page 121, 122, 123",,Perm,unchanged
AE,Adverse Events,One record per adverse event per subject,25,AESCONG,Congenital Anomaly or Birth Defect,Char,text,1,,No,Record Qualifier,NY,"CRF Page 121, 122, 123",,Perm,unchanged
AE,Adverse Events,One record per adverse event per subject,26,AESDISAB,Persist or Signif Disability/Incapacity,Char,text,1,,No,Record Qualifier,NY,"CRF Page 121, 122, 123",,Perm,unchanged
AE,Adverse Events,One record per adverse event per subject,27,AESDTH,Results in Death,Char,text,1,,No,Record Qualifier,NY,"CRF Page 121, 122, 123",,Perm,unchanged
AE,Adverse Events,One record per adverse event per subject,28,AESHOSP,Requires or Prolongs Hospitalization,Char,text,1,,No,Record Qualifier,NY,"CRF Page 121, 122, 123",,Perm,unchanged
AE,Adverse Events,One record per adverse event per subject,29,AESLIFE,Is Life Threatening,Char,text,1,,No,Record Qualifier,NY,"CRF Page 121, 122, 123",,Perm,unchanged
AE,Adverse Events,One record per adverse event per subject,30,AESOD,Occurred with Overdose,Char,text,1,,No,Record Qualifier,NY,"CRF Page 121, 122, 123",,Perm,unchanged
AE,Adverse Events,One record per adverse event per subject,31,AEDTC,Date/Time of Collection,Char,date,10,,No,Timing,,Derived,Date of final visit (SV),Perm,kept from pilot; allowed by SDTM but not in the SDTMIG 3.4 domain table
AE,Adverse Events,One record per adverse event per subject,32,AEDY,Study Day of Visit/Collection/Exam,Num,integer,8,,No,Timing,,,,Perm,added (--DY for the --DTC kept from the pilot)
AE,Adverse Events,One record per adverse event per subject,33,EPOCH,Epoch,Char,text,20,,No,Timing,EPOCH,,,Perm,added (Perm in SDTMIG 3.4; needed for a conformance fix)
AE,Adverse Events,One record per adverse event per subject,34,AESTDTC,Start Date/Time of Adverse Event,Char,date,10,4,No,Timing,,"CRF Page 121, 122, 123",,Exp,unchanged
AE,Adverse Events,One record per adverse event per subject,35,AEENDTC,End Date/Time of Adverse Event,Char,date,10,,No,Timing,,"CRF Page 121, 122, 123",,Exp,unchanged
AE,Adverse Events,One record per adverse event per subject,36,AESTDY,Study Day of Start of Adverse Event,Num,integer,8,,No,Timing,,Derived,,Perm,unchanged
