dataset,dataset_label,structure,order,variable,label,type,datatype,length,key,mandatory,role,codelist,origin,comment,core,change
TS,Trial Summary,One record per trial summary parameter value,9,TSVCDREF,Name of the Reference Terminology,Char,text,20,,No,Result Qualifier,DICTNAM,,,Exp,added (Exp in SDTMIG 3.4)
TS,Trial Summary,One record per trial summary parameter value,10,TSVCDVER,Version of the Reference Terminology,Char,text,20,,No,Result Qualifier,,,,Exp,added (Exp in SDTMIG 3.4)
DM,Demographics,One record per subject,1,STUDYID,Study Identifier,Char,text,12,1,Yes,Identifier,,CRF Page 7,,Req,unchanged
DM,Demographics,One record per subject,2,DOMAIN,Domain Abbreviation,Char,text,2,,Yes,Identifier,,Assigned,,Req,unchanged
DM,Demographics,One record per subject,3,USUBJID,Unique Subject Identifier,Char,text,11,2,Yes,Identifier,,Derived,"Concatenation of STUDYID, DM.SITEID and DM.SUBJID",Req,unchanged
DM,Demographics,One record per subject,4,SUBJID,Subject Identifier for the Study,Char,text,4,,Yes,Topic,,CRF Page 7,,Req,unchanged
DM,Demographics,One record per subject,5,RFSTDTC,Subject Reference Start Date/Time,Char,date,10,,No,Record Qualifier,,Derived,Date/time of first study drug treatment derived from EX,Exp,unchanged
DM,Demographics,One record per subject,6,RFENDTC,Subject Reference End Date/Time,Char,date,10,,No,Record Qualifier,,Derived,Date/time of last study drug treatment derived from EX,Exp,unchanged
DM,Demographics,One record per subject,7,RFXSTDTC,Date/Time of First Study Treatment,Char,datetime,20,,No,Record Qualifier,,Derived,RFXSTDTC=RFSTDTC,Exp,unchanged
DM,Demographics,One record per subject,8,RFXENDTC,Date/Time of Last Study Treatment,Char,datetime,20,,No,Record Qualifier,,Derived,RFXENDTC=RFENDTC,Exp,unchanged
DM,Demographics,One record per subject,9,RFICDTC,Date/Time of Informed Consent,Char,datetime,20,,No,Record Qualifier,,Derived,Date of informed consent was not entered in database (see annotated CRF),Exp,unchanged
DM,Demographics,One record per subject,10,RFPENDTC,Date/Time of End of Participation,Char,datetime,20,,No,Record Qualifier,,Derived,DSSTDTC of last disposition event,Exp,unchanged
DM,Demographics,One record per subject,11,DTHDTC,Date/Time of Death,Char,datetime,20,,No,Record Qualifier,,Derived,"If DS record exists with DSDECOD=""DEATH"" then DTHDTC=AEENDTC.",Exp,unchanged
DM,Demographics,One record per subject,12,DTHFL,Subject Death Flag,Char,text,1,,No,Record Qualifier,NY,Derived,"If DS record exists with DSDECOD=""DEATH"" then DEATHFL=Y.",Exp,unchanged
DM,Demographics,One record per subject,13,SITEID,Study Site Identifier,Char,text,3,,Yes,Record Qualifier,,Assigned,,Req,unchanged
DM,Demographics,One record per subject,14,AGE,Age,Num,integer,8,,No,Record Qualifier,,Derived,Subject's Age at start of study drug (RFSTDTC).,Exp,unchanged
DM,Demographics,One record per subject,15,AGEU,Age Units,Char,text,6,,No,Variable Qualifier,AGEU,Assigned,"AGEU=""YEARS""",Exp,unchanged
